  L  hook             R2     CKA     cos    KL_raw    KL_map    drop%  alpha
 10  resid_post   -0.722   0.611     nan     0.015     0.023  -53.874  1.000
 24  resid_post   -0.732   0.871     nan     0.294     0.174   40.774  1.000
 26  attn_out     -0.730   0.683     nan     0.002     0.002  -28.924  0.938
 26  mlp_out      -0.734   0.751     nan     0.992     0.883   10.999  1.000
 26  mlp_out      -0.734   0.751     nan     0.992     0.883   10.999  1.000
 26  resid_post   -0.819   0.871     nan     0.343     0.206   40.068  1.000
 30  attn_out     -0.856   0.665     nan     0.004     0.006  -35.123  0.913
 30  mlp_out      -1.530   0.693     nan     3.751     3.948   -5.262  1.000
 30  mlp_out      -1.530   0.693     nan     3.751     3.948   -5.262  1.000
 30  resid_post   -1.089   0.869     nan     0.484     0.245   49.439  1.000
