RQ3 — α sweep summary (val)

file                                             layer hook        alpha   KL_raw   KL_mapped     Δ     drop%
mapped_patch_L24_resid_post_k1_alpha0.8.json        24 resid_post   0.8     0.294       0.714    -0.421  -143.3
mapped_patch_L24_resid_post_k8_alpha0.8.json        24 resid_post   0.8     0.294       0.697    -0.403  -137.2
mapped_patch_L24_resid_post_k32_alpha0.8.json       24 resid_post   0.8     0.294       0.616    -0.323  -109.9
mapped_patch_L24_resid_post_kfull_alpha0.8.json     24 resid_post   0.8     0.294       0.172     0.122    41.5
mapped_patch_L24_resid_post_k1_alpha1.0.json        24 resid_post   1.0     0.294       0.726    -0.433  -147.3
mapped_patch_L24_resid_post_k8_alpha1.0.json        24 resid_post   1.0     0.294       0.707    -0.414  -140.9
mapped_patch_L24_resid_post_k32_alpha1.0.json       24 resid_post   1.0     0.294       0.623    -0.329  -112.2
mapped_patch_L24_resid_post_kfull_alpha1.0.json     24 resid_post   1.0     0.294       0.174     0.120    40.8
mapped_patch_L24_resid_post_k1_alpha1.2.json        24 resid_post   1.2     0.294       0.737    -0.444  -151.1
mapped_patch_L24_resid_post_k8_alpha1.2.json        24 resid_post   1.2     0.294       0.718    -0.424  -144.5
mapped_patch_L24_resid_post_k32_alpha1.2.json       24 resid_post   1.2     0.294       0.630    -0.337  -114.7
mapped_patch_L24_resid_post_kfull_alpha1.2.json     24 resid_post   1.2     0.294       0.179     0.115    39.0
mapped_patch_L26_resid_post_k1_alpha0.8.json        26 resid_post   0.8     0.343       0.829    -0.486  -141.6
mapped_patch_L26_resid_post_k8_alpha0.8.json        26 resid_post   0.8     0.343       0.809    -0.466  -135.8
mapped_patch_L26_resid_post_k32_alpha0.8.json       26 resid_post   0.8     0.343       0.729    -0.386  -112.4
mapped_patch_L26_resid_post_kfull_alpha0.8.json     26 resid_post   0.8     0.343       0.208     0.135    39.5
mapped_patch_L26_resid_post_k1_alpha1.0.json        26 resid_post   1.0     0.343       0.827    -0.484  -141.0
mapped_patch_L26_resid_post_k8_alpha1.0.json        26 resid_post   1.0     0.343       0.806    -0.463  -134.9
mapped_patch_L26_resid_post_k32_alpha1.0.json       26 resid_post   1.0     0.343       0.723    -0.380  -110.6
mapped_patch_L26_resid_post_kfull_alpha1.0.json     26 resid_post   1.0     0.343       0.206     0.138    40.1
mapped_patch_L26_resid_post_k1_alpha1.2.json        26 resid_post   1.2     0.343       0.828    -0.485  -141.3
mapped_patch_L26_resid_post_k8_alpha1.2.json        26 resid_post   1.2     0.343       0.807    -0.463  -135.0
mapped_patch_L26_resid_post_k32_alpha1.2.json       26 resid_post   1.2     0.343       0.721    -0.378  -110.0
mapped_patch_L26_resid_post_kfull_alpha1.2.json     26 resid_post   1.2     0.343       0.208     0.135    39.3
mapped_patch_L30_resid_post_k1_alpha0.8.json        30 resid_post   0.8     0.484       1.132    -0.648  -134.0
mapped_patch_L30_resid_post_k8_alpha0.8.json        30 resid_post   0.8     0.484       1.115    -0.631  -130.4
mapped_patch_L30_resid_post_k32_alpha0.8.json       30 resid_post   0.8     0.484       1.036    -0.552  -114.1
mapped_patch_L30_resid_post_kfull_alpha0.8.json     30 resid_post   0.8     0.484       0.284     0.200    41.3
mapped_patch_L30_resid_post_k1_alpha1.0.json        30 resid_post   1.0     0.484       0.993    -0.509  -105.3
mapped_patch_L30_resid_post_k8_alpha1.0.json        30 resid_post   1.0     0.484       0.975    -0.492  -101.6
mapped_patch_L30_resid_post_k32_alpha1.0.json       30 resid_post   1.0     0.484       0.895    -0.412   -85.1
mapped_patch_L30_resid_post_kfull_alpha1.0.json     30 resid_post   1.0     0.484       0.245     0.239    49.4
mapped_patch_L30_resid_post_k1_alpha1.2.json        30 resid_post   1.2     0.484       0.926    -0.443   -91.5
mapped_patch_L30_resid_post_k8_alpha1.2.json        30 resid_post   1.2     0.484       0.908    -0.424   -87.7
mapped_patch_L30_resid_post_k32_alpha1.2.json       30 resid_post   1.2     0.484       0.827    -0.344   -71.0
mapped_patch_L30_resid_post_kfull_alpha1.2.json     30 resid_post   1.2     0.484       0.249     0.235    48.5
