RQ3 — α sweep summary (val)

file                                             layer hook        alpha   KL_raw   KL_mapped     Δ     drop%
mapped_patch_L24_attn_out_alpha0.3.json             24 attn_out     0.3     5.764       7.051    -1.287   -22.3
mapped_patch_L24_attn_out_alpha0.5.json             24 attn_out     0.5     5.764       7.024    -1.261   -21.9
mapped_patch_L24_attn_out_alpha0.7.json             24 attn_out     0.7     5.764       6.981    -1.217   -21.1
mapped_patch_L24_attn_out_alpha1.0.json             24 attn_out     1.0     5.764       7.062    -1.299   -22.5
mapped_patch_L24_mlp_out_alpha0.3.json              24 mlp_out      0.3     7.185       7.021     0.164     2.3
mapped_patch_L24_mlp_out_alpha0.5.json              24 mlp_out      0.5     7.185       7.004     0.181     2.5
mapped_patch_L24_mlp_out_alpha0.7.json              24 mlp_out      0.7     7.185       6.801     0.384     5.3
mapped_patch_L24_mlp_out_alpha1.0.json              24 mlp_out      1.0     7.185       6.462     0.723    10.1
mapped_patch_L24_resid_post_alpha0.3.json           24 resid_post   0.3     6.434       6.093     0.341     5.3
mapped_patch_L24_resid_post_alpha0.5.json           24 resid_post   0.5     6.434       5.665     0.769    12.0
mapped_patch_L24_resid_post_alpha0.7.json           24 resid_post   0.7     6.434       5.596     0.838    13.0
mapped_patch_L24_resid_post_alpha1.0.json           24 resid_post   1.0     6.434       5.776     0.658    10.2
mapped_patch_L26_attn_out_alpha0.3.json             26 attn_out     0.3     7.841       5.170     2.671    34.1
mapped_patch_L26_attn_out_alpha0.5.json             26 attn_out     0.5     7.841       5.251     2.590    33.0
mapped_patch_L26_attn_out_alpha0.7.json             26 attn_out     0.7     7.841       5.366     2.475    31.6
mapped_patch_L26_attn_out_alpha1.0.json             26 attn_out     1.0     7.841       5.640     2.201    28.1
mapped_patch_L26_mlp_out_alpha0.3.json              26 mlp_out      0.3     6.521       5.104     1.416    21.7
mapped_patch_L26_mlp_out_alpha0.5.json              26 mlp_out      0.5     6.521       5.761     0.759    11.6
mapped_patch_L26_mlp_out_alpha0.7.json              26 mlp_out      0.7     6.521       5.935     0.585     9.0
mapped_patch_L26_mlp_out_alpha1.0.json              26 mlp_out      1.0     6.521       5.902     0.618     9.5
mapped_patch_L26_resid_post_alpha0.3.json           26 resid_post   0.3     6.835       5.304     1.530    22.4
mapped_patch_L26_resid_post_alpha0.5.json           26 resid_post   0.5     6.835       5.409     1.425    20.9
mapped_patch_L26_resid_post_alpha0.7.json           26 resid_post   0.7     6.835       5.410     1.424    20.8
mapped_patch_L26_resid_post_alpha1.0.json           26 resid_post   1.0     6.835       5.864     0.970    14.2
mapped_patch_L24_resid_post_k1_alpha0.3.json        24 resid_post   0.3     6.437       6.604    -0.167    -2.6
mapped_patch_L24_resid_post_k8_alpha0.3.json        24 resid_post   0.3     6.437       6.604    -0.167    -2.6
mapped_patch_L24_resid_post_k32_alpha0.3.json       24 resid_post   0.3     6.437       6.604    -0.167    -2.6
mapped_patch_L24_resid_post_kfull_alpha0.3.json     24 resid_post   0.3     6.437       6.604    -0.167    -2.6
mapped_patch_L24_resid_post_k1_alpha0.5.json        24 resid_post   0.5     6.437       5.763     0.674    10.5
mapped_patch_L24_resid_post_k8_alpha0.5.json        24 resid_post   0.5     6.437       5.763     0.674    10.5
mapped_patch_L24_resid_post_k32_alpha0.5.json       24 resid_post   0.5     6.437       5.763     0.674    10.5
mapped_patch_L24_resid_post_kfull_alpha0.5.json     24 resid_post   0.5     6.437       5.763     0.674    10.5
mapped_patch_L24_resid_post_k1_alpha0.7.json        24 resid_post   0.7     6.437       5.638     0.799    12.4
mapped_patch_L24_resid_post_k8_alpha0.7.json        24 resid_post   0.7     6.437       5.638     0.799    12.4
mapped_patch_L24_resid_post_k32_alpha0.7.json       24 resid_post   0.7     6.437       5.638     0.799    12.4
mapped_patch_L24_resid_post_kfull_alpha0.7.json     24 resid_post   0.7     6.437       5.638     0.799    12.4
mapped_patch_L24_resid_post_k1_alpha1.0.json        24 resid_post   1.0     6.437       5.629     0.808    12.5
mapped_patch_L24_resid_post_k8_alpha1.0.json        24 resid_post   1.0     6.437       5.629     0.808    12.5
